PROCEDIMENTO;HOSPITAL ACCURATA;
Mamoplastia de Aumento;3.000,00;-
  + Lipoaspiração de Pré-Axilas;3.300,00;-
  + Lipoaspiração de Contorno Mamário;3.300,00;-
  + Papiloplastia - Redução Papilas Mamárias;3.100,00;-
  + Papiloplastia - Eversão Papilas Mamárias;3.200,00;-
Lipoenxertia Mamária de Aumento;3.700,00;-
Substituição de Implantes;3.700,00;-
  + Lipoaspiração de Pré-Axilas;3.900,00;-
  + Lipoaspiração de Contorno Mamário;3.900,00;-
Substituição de Implantes + Tratamento Cirúrgico de Contratura Capsular;3.700,00;-
  + Lipoaspiração de Pré-Axilas;3.900,00;-
  + Lipoaspiração de Contorno Mamário;3.900,00;-
Retirada de Implantes + Lipoenxertia Mamária;3.700,00;-
Mastopexia;4.700,00;5.300,00
  + Lipoaspiração de Pré-Axilas;4.900,00;5.500,00
  + Lipoaspiração de Contorno Mamário;4.900,00;5.500,00
  + Substituição de Implantes;4.900,00;5.500,00
  + Substituição de Implantes + Lipoaspiração de Pré-Axilas;4.900,00;5.500,00
  + Substituição de Implantes e Lipoaspiração de Contorno Mamário;4.900,00;5.500,00
  + Substituição de Implantes + Tratamento Cirúrgico de Contratura Capsular;4.900,00;5.500,00
  + Retirada de Implantes + Lipoenxertia Mamária;4.900,00;5.500,00
Mastopexia com Implantes;4.700,00;5.200,00
  + Lipoaspiração de Pré-Axilas;4.900,00;5.400,00
  + Lipoaspiração de Contorno Mamário;4.900,00;5.400,00
  + Substituição de Implantes;4.900,00;5.400,00
  + Substituição de Implantes + Lipoaspiração de Pré-Axilas;4.900,00;5.400,00
  + Substituição de Implantes + Lipoaspiração de Contorno Mamário;4.900,00;5.400,00
  + Substituição de Implantes + Tratamento Cirúrgico de Contratura Capsular;4.900,00;5.400,00
  + Retirada de Implantes + Lipoenxertia Mamária;5.700,00;6.200,00
Mamoplastia Redutora;5.700,00;6.200,00
  + Lipoaspiração de Pré-Axilas;5.900,00;6.400,00
  + Lipoaspiração de Contorno Mamário;5.900,00;6.400,00
Mamoplastia Redutora com Implantes;5.900,00;6.400,00
  + Lipoaspiração de Pré-Axilas;6.100,00;6.600,00
  + Lipoaspiração de Contorno Mamário;6.100,00;6.600,00
Mamoplastia Redutora com Substituição de Implantes;5.900,00;6.400,00
  + Lipoaspiração de Pré-Axilas;6.100,00;6.600,00
  + Lipoaspiração de Contorno Mamário;6.100,00;6.600,00
Lipoaspiração de Abdome;2.600,00;2.800,00
Lipoaspiração de Flancos;2.600,00;2.800,00
Lipoaspiração de Abdome e Flancos;2.800,00;3.200,00
   + Pré-Axilas;2.800,00;3.200,00
   + Face Interna das Coxas;2.800,00;3.400,00
   + Culotes;2.800,00;3.400,00
   + Braços;2.800,00;3.500,00
   + Pré-Axilas e Face Interna das Coxas;2.800,00;3.400,00
   + Pré-Axilas e Culotes;2.800,00;3.400,00
   + Pré-Axilas e Braços;2.800,00;3.500,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;2.800,00;3.500,00
   + Pré-Axilas, Face Interna das Coxas e Braços;2.800,00;3.500,00
   + Pré-Axilas, Culotes e Braços;2.800,00;3.500,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;2.800,00;3.500,00
   + Face Interna das Coxas e Culotes;2.800,00;3.500,00
   + Face Interna das Coxas e Braços;2.800,00;3.500,00
   + Culotes e Braços;2.800,00;3.500,00
   + Face Interna das Coxas, Culotes e Braços;2.800,00;3.500,00
Lipoaspiração de Abdome, Flancos e Dorso;3.300,00;3.700,00
   + Pré-Axilas;3.300,00;3.700,00
   + Face Interna das Coxas;3.300,00;3.700,00
   + Culotes;3.300,00;3.700,00
   + Braços;3.300,00;3.700,00
   + Pré-Axilas e Face Interna das Coxas;3.300,00;3.700,00
   + Pré-Axilas e Culotes;3.300,00;3.700,00
   + Pré-Axilas e Braços;3.300,00;3.700,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.300,00;3.900,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.300,00;3.900,00
   + Pré-Axilas, Culotes e Braços;3.300,00;3.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.300,00;3.900,00
   + Face Interna das Coxas e Culotes;3.300,00;3.900,00
   + Face Interna das Coxas e Braços;3.300,00;3.900,00
   + Culotes e Braços;3.300,00;3.900,00
   + Face Interna das Coxas, Culotes e Braços;3.300,00;3.900,00
Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;3.500,00;3.900,00
   + Pré-Axilas;3.500,00;3.900,00
   + Face Interna das Coxas;3.500,00;3.900,00
   + Culotes;3.500,00;3.900,00
   + Braços;3.500,00;3.900,00
   + Pré-Axilas e Face Interna das Coxas;3.500,00;3.900,00
   + Pré-Axilas e Culotes;3.500,00;3.900,00
   + Pré-Axilas e Braços;3.500,00;3.900,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.500,00;4.100,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.500,00;4.100,00
   + Pré-Axilas, Culotes e Braços;3.500,00;4.100,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.500,00;4.100,00
   + Face Interna das Coxas e Culotes;3.500,00;4.100,00
   + Face Interna das Coxas e Braços;3.500,00;4.100,00
   + Culotes e Braços;3.500,00;4.100,00
   + Face Interna das Coxas, Culotes e Braços;3.500,00;4.100,00
Lipoescultura - Lipoaspiração de Dorso e Lipoenxertia Glútea;2.900,00;3.300,00
   + Pré-Axilas;3.200,00;3.600,00
   + Face Interna das Coxas;3.200,00;3.600,00
   + Culotes;3.200,00;3.600,00
   + Braços;3.200,00;3.600,00
   + Pré-Axilas e Face Interna das Coxas;3.200,00;3.600,00
   + Pré-Axilas e Culotes;3.200,00;3.600,00
   + Pré-Axilas e Braços;3.200,00;3.600,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.200,00;3.600,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.200,00;3.600,00
   + Pré-Axilas, Culotes e Braços;3.200,00;3.600,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.200,00;3.600,00
   + Face Interna das Coxas e Culotes;3.200,00;3.600,00
   + Face Interna das Coxas e Braços;3.200,00;3.600,00
   + Culotes e Braços;3.200,00;3.600,00
   + Face Interna das Coxas, Culotes e Braços;3.200,00;3.600,00
Lipoaspiração de Pré-Axilas;1.800,00;2.000,00
Lipoaspiração de Contorno Mamário;1.800,00;2.000,00
Lipoaspiração de Braços;3.000,00;2.000,00
Lipoaspiração de FI Coxas;1.800,00;2.000,00
Lipoaspiração de Culotes;1.800,00;2.000,00
Lipoaspiração de Sumento;1.800,00;2.000,00
Retirada de Fuso de Pele do Abdome e Lipoaspiração de Abdome e Flancos;3.100,00;3.700,00
   + Pré-Axilas;3.100,00;3.700,00
   + Face Interna das Coxas;3.100,00;3.900,00
   + Culotes;3.100,00;3.900,00
   + Braços;3.100,00;4.000,00
   + Pré-Axilas e Face Interna das Coxas;3.100,00;3.900,00
   + Pré-Axilas e Culotes;3.100,00;3.900,00
   + Pré-Axilas e Braços;3.100,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.100,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.100,00;4.000,00
   + Pré-Axilas, Culotes e Braços;3.100,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.100,00;4.000,00
   + Face Interna das Coxas e Culotes;3.100,00;4.000,00
   + Face Interna das Coxas e Braços;3.100,00;4.000,00
   + Culotes e Braços;3.100,00;4.000,00
   + Face Interna das Coxas, Culotes e Braços;3.100,00;4.000,00
Retirada de Fuso de Pele do Abdome e Lipoaspiração de Abdome, Flancos e Dorso;3.600,00;4.000,00
   + Pré-Axilas;3.600,00;4.000,00
   + Face Interna das Coxas;3.600,00;4.200,00
   + Culotes;3.600,00;4.200,00
   + Braços;3.600,00;4.300,00
   + Pré-Axilas e Face Interna das Coxas;3.600,00;4.200,00
   + Pré-Axilas e Culotes;3.600,00;4.200,00
   + Pré-Axilas e Braços;3.600,00;4.300,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.600,00;4.300,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.600,00;4.300,00
   + Pré-Axilas, Culotes e Braços;3.600,00;4.300,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.600,00;4.300,00
   + Face Interna das Coxas e Culotes;3.600,00;4.300,00
   + Face Interna das Coxas e Braços;3.600,00;4.300,00
   + Culotes e Braços;3.600,00;4.300,00
   + Face Interna das Coxas, Culotes e Braços;3.600,00;4.300,00
Retirada de Fuso de Pele do Abdome e Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;3.800,00;4.200,00
   + Pré-Axilas;3.800,00;4.200,00
   + Face Interna das Coxas;3.800,00;4.400,00
   + Culotes;3.800,00;4.400,00
   + Braços;3.800,00;4.500,00
   + Pré-Axilas e Face Interna das Coxas;3.800,00;4.400,00
   + Pré-Axilas e Culotes;3.800,00;4.400,00
   + Pré-Axilas e Braços;3.800,00;4.500,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.800,00;4.500,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.800,00;4.500,00
   + Pré-Axilas, Culotes e Braços;3.800,00;4.500,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.800,00;4.500,00
   + Face Interna das Coxas e Culotes;3.800,00;4.500,00
   + Face Interna das Coxas e Braços;3.800,00;4.500,00
   + Culotes e Braços;3.800,00;4.500,00
   + Face Interna das Coxas, Culotes e Braços;3.800,00;4.500,00
Retirada de Fuso de Pele do Abdome e Lipoescultura - Lipoaspiração de Dorso e Lipoenxertia Glútea;3.400,00;3.700,00
   + Pré-Axilas;3.600,00;3.900,00
   + Face Interna das Coxas;3.600,00;3.900,00
