PROCEDIMENTO;HOSPITAL ACCURATA;
;;
Mamoplastia de Aumento;3.000,00;-
  + Lipoaspiração de Pré-Axilas;3.300,00;-
  + Lipoaspiração de Contorno Mamário;3.300,00;-
  + Papiloplastia - Redução de Papilas Mamárias;3.200,00;-
  + Papiloplastia - Eversão de Papilas Mamárias;3.200,00;-
Lipoenxertia Mamária de Aumento;3.800,00;-
Substituição de Implantes Mamários;4.000,00;-
  + Lipoaspiração de Pré-Axilas;4.300,00;-
  + Lipoaspiração de Contorno Mamário;4.300,00;-
  + Papiloplastia - Redução de Papilas Mamárias;4.200,00;-
  + Papiloplastia - Eversão de Papilas Mamárias;4.200,00;-
Substituição de Implantes Mamários e Tratamento Cirúrgico de Contratura Capsular;4.000,00;-
  + Lipoaspiração de Pré-Axilas;4.300,00;-
  + Lipoaspiração de Contorno Mamário;4.300,00;-
  + Papiloplastia - Redução de Papilas Mamárias;4.200,00;-
  + Papiloplastia - Eversão de Papilas Mamárias;4.200,00;-
Retirada de Implantes e Lipoenxertia Mamária;3.700,00;-
Mastopexia;4.700,00;5.300,00
  + Lipoaspiração de Pré-Axilas;4.900,00;5.500,00
  + Lipoaspiração de Contorno Mamário;4.900,00;5.500,00
  + Papiloplastia - Redução de Papilas Mamárias;4.900,00;5.500,00
  + Papiloplastia - Eversão de Papilas Mamárias;4.900,00;5.500,00
  + Retirada de Implantes;4.900,00;5.500,00
  + Retirada de Implantes e Lipoenxertia Mamária;4.900,00;5.500,00
Mastopexia com Implantes;4.700,00;5.300,00
  + Lipoaspiração de Pré-Axilas;4.900,00;5.500,00
  + Lipoaspiração de Contorno Mamário;4.900,00;5.500,00
  + Papiloplastia - Redução de Papilas Mamárias;4.900,00;5.500,00
  + Papiloplastia - Eversão de Papilas Mamárias;4.900,00;5.500,00
 Mastopexia com Substituição de Implantes;4.700,00;5.300,00
  + Lipoaspiração de Pré-Axilas;4.900,00;5.500,00
  + Lipoaspiração de Contorno Mamário;4.900,00;5.500,00
  + Papiloplastia - Redução de Papilas Mamárias;4.900,00;5.500,00
  + Papiloplastia - Eversão de Papilas Mamárias;4.900,00;5.500,00
  + Tratamento Cirúrgico de Contratura Capsular;4.900,00;5.500,00
Mamoplastia Redutora;5.700,00;6.200,00
  + Lipoaspiração de Pré-Axilas;5.900,00;6.400,00
  + Lipoaspiração de Contorno Mamário;5.900,00;6.400,00
  + Papiloplastia - Redução de Papilas Mamárias;5.900,00;6.400,00
  + Papiloplastia - Eversão de Papilas Mamárias;5.900,00;6.400,00
  + Retirada de Implantes;5.900,00;6.400,00
Mamoplastia Redutora com Implantes;5.900,00;6.400,00
  + Lipoaspiração de Pré-Axilas;6.100,00;6.600,00
  + Lipoaspiração de Contorno Mamário;6.100,00;6.600,00
  + Papiloplastia - Redução de Papilas Mamárias;6.100,00;6.600,00
  + Papiloplastia - Eversão de Papilas Mamárias;6.100,00;6.600,00
Mamoplastia Redutora com Substituição de Implantes;5.900,00;6.400,00
  + Lipoaspiração de Pré-Axilas;6.100,00;6.600,00
  + Lipoaspiração de Contorno Mamário;6.100,00;6.600,00
  + Papiloplastia - Redução de Papilas Mamárias;6.100,00;6.600,00
  + Papiloplastia - Eversão de Papilas Mamárias;6.100,00;6.600,00
  + Tratamento Cirúrgico de Contratura Capsular;6.100,00;6.600,00
Retirada Unilateral de Glândulas Mamárias Acessórias;2.000,00;-
Retirada Bilateral de Glândulas Mamárias Acessórias;3.200,00;-
Lipoaspiração de Pré-Axilas;1.500,00;1.700,00
Lipoaspiração de Contorno Mamário;1.600,00;1.800,00
Lipoaspiração de Braços;2.700,00;2.900,00
Lipoaspiração de Face Interna das Coxas;1.800,00;2.000,00
Lipoaspiração de Culotes;1.800,00;2.000,00
Lipoaspiração de Sumento;1.600,00;1.800,00
Lipoaspiração de Pré-Axilas e Braços;2.800,00;3.000,00
Lipoaspiração de Abdome;2.500,00;2.700,00
Lipoaspiração de Flancos;2.500,00;2.700,00
Lipoaspiração de Abdome e Flancos;2.800,00;3.300,00
   + Pré-Axilas;2.800,00;3.300,00
   + Face Interna das Coxas;2.800,00;3.400,00
   + Culotes;2.800,00;3.400,00
   + Braços;3.100,00;3.500,00
   + Submento;2.800,00;3.400,00
   + Pré-Axilas e Face Interna das Coxas;2.800,00;3.400,00
   + Pré-Axilas e Culotes;2.800,00;3.400,00
   + Pré-Axilas e Braços;3.100,00;3.500,00
   + Pré-Axilas e Submento;2.800,00;3.400,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.000,00;3.500,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.100,00;3.500,00
   + Pré-Axilas, Face Interna das Coxas e Submento;3.000,00;3.500,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.100,00;3.500,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;3.000,00;3.500,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;3.100,00;3.500,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;3.100,00;3.500,00
   + Pré-Axilas, Culotes e Braços;3.100,00;3.500,00
   + Pré-Axilas, Culotes e Submento;3.000,00;3.500,00
   + Pré-Axilas, Culotes, Braços e Submento;3.100,00;3.500,00
   + Pré-Axilas, Braços e Submento;3.100,00;3.500,00
   + Face Interna das Coxas e Culotes;3.000,00;3.500,00
   + Face Interna das Coxas e Braços;3.000,00;3.500,00
   + Face Interna das Coxas e Submento;3.000,00;3.500,00
   + Face Interna das Coxas, Culotes e Braços;3.000,00;3.500,00
   + Face Interna das Coxas, Culotes e Submento;3.000,00;3.500,00
   + Face Interna das Coxas, Braços e Submento;3.100,00;3.500,00
   + Face Interna das Coxas, Culotes, Braços e Submento;3.100,00;3.500,00
   + Culotes e Braços;3.100,00;3.500,00
   + Culotes e Submento;3.000,00;3.500,00
   + Culotes, Braços e Submento;3.100,00;3.500,00
   + Braços e Submento;3.100,00;3.500,00
Lipoaspiração de Abdome, Flancos e Dorso;3.300,00;3.800,00
   + Pré-Axilas;3.300,00;3.800,00
   + Face Interna das Coxas;3.300,00;4.000,00
   + Culotes;3.300,00;4.000,00
   + Braços;3.300,00;4.000,00
   + Submento;3.300,00;4.000,00
   + Pré-Axilas e Face Interna das Coxas;3.300,00;4.100,00
   + Pré-Axilas e Culotes;3.300,00;4.100,00
   + Pré-Axilas e Braços;3.300,00;4.100,00
   + Pré-Axilas e Submento;3.300,00;4.100,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.300,00;4.200,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.300,00;4.200,00
   + Pré-Axilas, Face Interna das Coxas e Submento;3.300,00;4.200,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.300,00;4.200,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;3.300,00;4.200,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;3.300,00;4.200,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;3.300,00;4.300,00
   + Pré-Axilas, Culotes e Braços;3.300,00;4.200,00
   + Pré-Axilas, Culotes e Submento;3.300,00;4.200,00
   + Pré-Axilas, Culotes, Braços e Submento;3.300,00;4.200,00
   + Pré-Axilas, Braços e Submento;3.300,00;4.200,00
   + Face Interna das Coxas e Culotes;3.300,00;4.200,00
   + Face Interna das Coxas e Braços;3.300,00;4.200,00
   + Face Interna das Coxas e Submento;3.300,00;4.200,00
   + Face Interna das Coxas, Culotes e Braços;3.300,00;4.200,00
   + Face Interna das Coxas, Culotes e Submento;3.300,00;4.200,00
   + Face Interna das Coxas, Braços e Submento;3.300,00;4.200,00
   + Face Interna das Coxas, Culotes, Braços e Submento;3.300,00;4.300,00
   + Culotes e Braços;3.300,00;4.200,00
   + Culotes e Submento;3.300,00;4.200,00
   + Culotes, Braços e Submento;3.300,00;4.200,00
   + Braços e Submento;3.300,00;4.200,00
Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;3.600,00;4.100,00
   + Pré-Axilas;3.600,00;4.100,00
   + Face Interna das Coxas;3.600,00;4.300,00
   + Culotes;3.600,00;4.300,00
   + Braços;3.600,00;4.300,00
   + Submento;3.600,00;4.300,00
   + Pré-Axilas e Face Interna das Coxas;3.600,00;4.400,00
   + Pré-Axilas e Culotes;3.600,00;4.400,00
   + Pré-Axilas e Braços;3.600,00;4.400,00
   + Pré-Axilas e Submento;3.600,00;4.400,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.600,00;4.500,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.600,00;4.500,00
   + Pré-Axilas, Face Interna das Coxas e Submento;3.600,00;4.500,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.600,00;4.500,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;3.600,00;4.500,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;3.600,00;4.500,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;3.600,00;4.600,00
   + Pré-Axilas, Culotes e Braços;3.600,00;4.500,00
   + Pré-Axilas, Culotes e Submento;3.600,00;4.500,00
   + Pré-Axilas, Culotes, Braços e Submento;3.600,00;4.500,00
   + Pré-Axilas, Braços e Submento;3.600,00;4.500,00
   + Face Interna das Coxas e Culotes;3.600,00;4.500,00
   + Face Interna das Coxas e Braços;3.600,00;4.500,00
   + Face Interna das Coxas e Submento;3.600,00;4.500,00
   + Face Interna das Coxas, Culotes e Braços;3.600,00;4.500,00
   + Face Interna das Coxas, Culotes e Submento;3.600,00;4.500,00
   + Face Interna das Coxas, Braços e Submento;3.600,00;4.500,00
   + Face Interna das Coxas, Culotes, Braços e Submento;3.600,00;4.600,00
   + Culotes e Braços;3.600,00;4.500,00
   + Culotes e Submento;3.600,00;4.500,00
   + Culotes, Braços e Submento;3.600,00;4.500,00
   + Braços e Submento;3.600,00;4.500,00
Lipoescultura - Lipoaspiração de Dorso e Lipoenxertia Glútea;3.000,00;3.300,00
   + Pré-Axilas;3.300,00;3.500,00
   + Face Interna das Coxas;3.300,00;3.600,00
   + Culotes;3.300,00;3.600,00
   + Braços;3.300,00;3.600,00
   + Submento;3.300,00;3.600,00
   + Pré-Axilas e Face Interna das Coxas;3.300,00;3.700,00
   + Pré-Axilas e Culotes;3.300,00;3.700,00
   + Pré-Axilas e Braços;3.300,00;3.700,00
   + Pré-Axilas e Submento;3.300,00;3.700,00
   + Pré-Axilas, Face Interna das Coxas e Culotes ;3.300,00;3.700,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.300,00;3.700,00
   + Pré-Axilas, Face Interna das Coxas e Submento;3.300,00;3.700,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.300,00;3.800,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;3.300,00;3.800,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;3.300,00;3.800,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;3.300,00;3.900,00
   + Pré-Axilas, Culotes e Braços;3.300,00;3.700,00
   + Pré-Axilas, Culotes e Submento;3.300,00;3.700,00
   + Pré-Axilas, Culotes, Braços e Submento;3.300,00;3.800,00
   + Pré-Axilas, Braços e Submento;3.300,00;3.700,00
   + Face Interna das Coxas e Culotes;3.300,00;3.700,00
   + Face Interna das Coxas e Braços;3.300,00;3.700,00
   + Face Interna das Coxas e Submento;3.300,00;3.700,00
   + Face Interna das Coxas, Culotes e Braços;3.300,00;3.700,00
   + Face Interna das Coxas, Culotes e Submento;3.300,00;3.700,00
   + Face Interna das Coxas, Braços e Submento;3.300,00;3.700,00
   + Face Interna das Coxas, Culotes, Braços e Submento;3.300,00;3.800,00
   + Culotes e Braços;3.300,00;3.700,00
   + Culotes e Submento;3.300,00;3.700,00
   + Culotes, Braços e Submento;3.300,00;3.700,00
   + Braços e Submento;3.300,00;3.700,00
Retirada de Fuso de Pele do Abdome;2.600,00;2.800,00
Retirada de Fuso de Pele do Abdome e Lipoaspiração de Abdome e Flancos;3.200,00;3.700,00
   + Pré-Axilas;3.200,00;3.700,00
   + Face Interna das Coxas;3.200,00;3.800,00
   + Culotes;3.200,00;3.800,00
   + Braços;3.500,00;3.900,00
   + Submento;3.200,00;3.800,00
   + Pré-Axilas e Face Interna das Coxas;3.200,00;3.800,00
   + Pré-Axilas e Culotes;3.200,00;3.800,00
   + Pré-Axilas e Braços;3.500,00;3.900,00
   + Pré-Axilas e Submento;3.200,00;3.800,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.400,00;3.900,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.500,00;3.900,00
   + Pré-Axilas, Face Interna das Coxas e Submento;3.400,00;3.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.500,00;3.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;3.400,00;3.900,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;3.500,00;3.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;3.500,00;3.900,00
   + Pré-Axilas, Culotes e Braços;3.500,00;3.900,00
   + Pré-Axilas, Culotes e Submento;3.400,00;3.900,00
   + Pré-Axilas, Culotes, Braços e Submento;3.500,00;3.900,00
   + Pré-Axilas, Braços e Submento;3.500,00;3.900,00
   + Face Interna das Coxas e Culotes;3.400,00;3.900,00
