PROCEDIMENTO;Complexidade A;;;Complexidade B;;;Complexidade C;;
;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia
Mastoplastia Aumento;17.000,00;15.000,00;2.000,00;19.000,00;17.000,00;2.000,00;21.000,00;19.000,00;2.000,00
  + Lipoaspiração Pré-Axilas;18.000,00;16.000,00;2.000,00;20.000,00;18.000,00;2.000,00;22.000,00;20.000,00;2.000,00
  + Lipoaspiração Contorno Mamário;19.000,00;17.000,00;2.000,00;21.000,00;19.000,00;2.000,00;23.000,00;21.000,00;2.000,00
  + Papiloplastia - Redução Papilas Mamárias;20.000,00;18.000,00;2.000,00;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00
  + Papiloplastia - Eversão Papilas Mamárias;20.000,00;18.000,00;2.000,00;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00
Lipoenxertia Mamária Aumento;22.000,00;19.000,00;3.000,00;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00
Retirada Implantes + Lipoenxertia Mamária;;0,00;;26.000,00;23.000,00;3.000,00;;0,00;0,00
Substituição Implantes;20.000,00;18.000,00;2.000,00;22.000,00;20.000,00;2.000,00;25.000,00;23.000,00;2.000,00
Substituição Implantes + Tratamento Cirúrgico Contratura Capsular;23.000,00;21.000,00;2.000,00;25.000,00;23.000,00;2.000,00;28.000,00;26.000,00;2.000,00
  + Lipoaspiração Pré-Axilas;24.000,00;22.000,00;2.000,00;26.000,00;24.000,00;2.000,00;29.000,00;27.000,00;2.000,00
  + Lipoaspiração Contorno Mamário;25.000,00;23.000,00;2.000,00;27.000,00;25.000,00;2.000,00;30.000,00;28.000,00;2.000,00
Mastopexia SEM Implantes;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
  + Lipoaspiração Pré-Axilas;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
  + Lipoaspiração Contorno Mamário;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
  + Substituição Implantes;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
  + Substituição Implantes + Lipoaspiração Pré-Axilas;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
  + Substituição Implantes + Tratamento Cirúrgico Contratura Capsular;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
  + Retirada Implantes + Lipoenxertia Mamária;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
Mastopexia COM Implantes;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
  + Lipoaspiração Pré-Axilas;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
  + Lipoaspiração Contorno Mamário;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
  + Substituição Implantes;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
  + Substituição Implantes + Lipoaspiração Pré-Axilas;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00
  + Substituição Implantes + Lipoaspiração Contorno Mamário;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
  + Substituição Implantes + Tratamento Cirúrgico Contratura Capsular;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00
